,female[0-9],male[0-9],female[10-19],male[10-19],female[20-29],male[20-29],female[30-39],male[30-39],female[40-49],male[40-49],female[50-59],male[50-59],female[60-102],male[60-102],population,"1-25,000","25,000-50,000","50,000-75,000","75,000-100,000","100,000-200,000","200,000-...",stadium_count,shoes_count,restaurant_count,gym_count,clothes_count,clinic_count
10025,0.04244186046511628,0.043224101479915435,0.04077167019027484,0.038805496828752645,0.10961945031712474,0.0850845665961945,0.07673361522198731,0.07153276955602537,0.06883720930232558,0.06524312896405919,0.07119450317124736,0.06559196617336152,0.1327801268498943,0.08813953488372094,94600.0,0.2772785622593068,0.17608044501497647,0.13543003851091143,0.08943089430894309,0.1621737270004279,0.15960633290543433,0.0,1.0,100.0,0.0,3.0,3.0
10031,0.05048017293313016,0.053953010383075234,0.059941883128388676,0.06454870831709132,0.10168680676140189,0.10632906906694072,0.07388638860342323,0.08045997377653354,0.0692441262978844,0.06876572522059606,0.06345015769516991,0.053616357773131576,0.09420957510896913,0.05942804493426415,56438.0,0.4873864783047427,0.2684157416750757,0.12781701984527413,0.055163134880592,0.0480995627312479,0.013118062563067608,0.0,1.0,13.0,2.0,0.0,1.0
10032,0.048525230677992706,0.05163000819800806,0.057072090143203504,0.06223509096300431,0.1024227730198322,0.10359142523242225,0.06970051106731089,0.0734681062601385,0.06614222671852925,0.06657829097695836,0.066962027524376,0.056548813033088556,0.10673108789311193,0.06839231829202351,57331.0,0.5068401735068402,0.26626626626626626,0.12078745412078745,0.04904904904904905,0.04671338004671338,0.010343677010343676,0.0,0.0,5.0,1.0,0.0,0.0
10033,0.050383859362830546,0.05249786744798427,0.055557615992285724,0.06278974891518006,0.0904016615361792,0.1067388643696918,0.07202462633979899,0.07462077661981234,0.06775952230834847,0.06798204947520677,0.06931721247635649,0.057523272632867266,0.1038645551311056,0.06853836739235249,53926.0,0.4920868605079131,0.23923444976076555,0.11924917188075083,0.05631210894368789,0.07029812292970188,0.022819285977180713,0.0,0.0,18.0,0.0,0.0,0.0
10034,0.0545389123059525,0.0575717076179706,0.05985915492957746,0.061529762516706075,0.08674308625475481,0.08016346252698674,0.0820396833556081,0.07759329700832733,0.07702786059422227,0.07019122031458826,0.07456050169630925,0.06083581782666804,0.09591857715636887,0.0614269558959597,38908.0,0.4824561403508772,0.23148148148148148,0.13450292397660818,0.06578947368421052,0.07163742690058479,0.014132553606237816,1.0,0.0,15.0,0.0,0.0,0.0
10040,0.05603149982102375,0.05357355924114068,0.0599451139482162,0.05980193294356282,0.08805631786183032,0.0822813506741439,0.07741319651592889,0.07340412838563418,0.0702302827824842,0.06643598615916955,0.07168595632979358,0.05727240186135306,0.11545161675217755,0.06841665672354134,41905.0,0.47987043035631655,0.24571957427117075,0.13142063859324388,0.06293382693197594,0.06339657565941693,0.016658954187875982,0.0,0.0,6.0,0.0,0.0,0.0
11691,0.08320146581160989,0.08623303073207296,0.07615557591405014,0.0807362371949696,0.07575580911135171,0.06912634296660282,0.06995919047222454,0.056833513783626215,0.06767718830682103,0.05278587490630465,0.0611809777629716,0.052585991504955444,0.09701007745481802,0.07075872407762139,60035.0,0.5022301516503123,0.25557537912578054,0.11819803746654772,0.05396966993755575,0.05753791257805531,0.012488849241748439,0.0,0.0,2.0,0.0,0.0,0.0
11692,0.07588996763754045,0.08149946062567422,0.0796655879180151,0.08225458468176915,0.07783171521035599,0.06682847896440129,0.08166127292340884,0.05528586839266451,0.08004314994606257,0.06154261057173679,0.062351672060409924,0.050215749730312835,0.08597626752966558,0.05895361380798274,18540.0,0.4774566473988439,0.26473988439306356,0.12485549132947976,0.06011560693641618,0.06242774566473988,0.010404624277456647,0.0,0.0,1.0,1.0,0.0,0.0
11693,0.06109432695535415,0.06184961396441759,0.06847935548841894,0.07032561262168513,0.06629741524001342,0.059415911379657606,0.07418596844578718,0.062017455521987244,0.08241020476670023,0.06889895938234307,0.08031218529707956,0.07099697885196375,0.10221550855991944,0.07150050352467271,11916.0,0.41403508771929826,0.22280701754385965,0.14385964912280702,0.08947368421052632,0.11754385964912281,0.012280701754385965,0.0,1.0,6.0,0.0,1.0,0.0
11694,0.05350842806742454,0.052675421403371225,0.053557428459427674,0.06301450411603293,0.0508624068992552,0.05213641709133673,0.057134457075656606,0.053312426499411994,0.07791062328498628,0.0697765582124657,0.08045864366914936,0.08712269698157585,0.13842610740885927,0.11010388083104665,20408.0,0.3079545454545455,0.18863636363636363,0.13636363636363635,0.10340909090909091,0.18522727272727274,0.07840909090909091,0.0,0.0,0.0,0.0,0.0,0.0
