"ZIP
code [1]",Size of adjusted gross income,Number of returns
10516,"$200,000 or more",340
,,
10518,,700
10518,"$1 under $25,000",180
10518,"$25,000 under $50,000",70
10518,"$50,000 under $75,000",70
10518,"$75,000 under $100,000",50
10518,"$100,000 under $200,000",160
10518,"$200,000 or more",170
,,
10520,,"6,420"
10520,"$1 under $25,000",1600
10520,"$25,000 under $50,000",950
10520,"$50,000 under $75,000",750
10520,"$75,000 under $100,000",580
10520,"$100,000 under $200,000",1390
10520,"$200,000 or more",1150
,,
10522,,"5,200"
10522,"$1 under $25,000",1200
10522,"$25,000 under $50,000",790
10522,"$50,000 under $75,000",670
10522,"$75,000 under $100,000",500
10522,"$100,000 under $200,000",1100
10522,"$200,000 or more",940
,,
10523,,"4,840"
10523,"$1 under $25,000",1580
10523,"$25,000 under $50,000",940
10523,"$50,000 under $75,000",720
10523,"$75,000 under $100,000",490
10523,"$100,000 under $200,000",840
10523,"$200,000 or more",270
,,
10524,,"2,040"
10524,"$1 under $25,000",490
10524,"$25,000 under $50,000",290
10524,"$50,000 under $75,000",230
10524,"$75,000 under $100,000",220
10524,"$100,000 under $200,000",500
10524,"$200,000 or more",310
,,
10526,,980
10526,"$1 under $25,000",260
10526,"$25,000 under $50,000",130
10526,"$50,000 under $75,000",110
10526,"$75,000 under $100,000",70
10526,"$100,000 under $200,000",210
10526,"$200,000 or more",200
,,
10527,,430
10527,"$1 under $25,000",100
10527,"$25,000 under $50,000",50
10527,"$50,000 under $75,000",30
10527,"$75,000 under $100,000",30
10527,"$100,000 under $200,000",120
10527,"$200,000 or more",100
,,
10528,,"5,890"
10528,"$1 under $25,000",1550
10528,"$25,000 under $50,000",940
10528,"$50,000 under $75,000",770
10528,"$75,000 under $100,000",530
10528,"$100,000 under $200,000",980
10528,"$200,000 or more",1120
,,
10530,,"7,160"
10530,"$1 under $25,000",1420
10530,"$25,000 under $50,000",1010
10530,"$50,000 under $75,000",1020
10530,"$75,000 under $100,000",870
10530,"$100,000 under $200,000",1820
10530,"$200,000 or more",1020
,,
10532,,"2,610"
10532,"$1 under $25,000",630
10532,"$25,000 under $50,000",410
10532,"$50,000 under $75,000",320
10532,"$75,000 under $100,000",250
10532,"$100,000 under $200,000",700
10532,"$200,000 or more",300
,,
10533,,"3,810"
10533,"$1 under $25,000",840
10533,"$25,000 under $50,000",420
10533,"$50,000 under $75,000",380
10533,"$75,000 under $100,000",340
10533,"$100,000 under $200,000",770
10533,"$200,000 or more",1060
,,
10535,,400
10535,"$1 under $25,000",130
10535,"$25,000 under $50,000",90
10535,"$50,000 under $75,000",70
10535,"$75,000 under $100,000",40
10535,"$100,000 under $200,000",70
10535,"$200,000 or more",**
,,
10536,,"5,240"
10536,"$1 under $25,000",1400
10536,"$25,000 under $50,000",520
10536,"$50,000 under $75,000",470
10536,"$75,000 under $100,000",350
10536,"$100,000 under $200,000",1000
10536,"$200,000 or more",1500
,,
10537,,"1,230"
10537,"$1 under $25,000",390
10537,"$25,000 under $50,000",260
10537,"$50,000 under $75,000",170
10537,"$75,000 under $100,000",150
10537,"$100,000 under $200,000",230
10537,"$200,000 or more",30
,,
10538,,"8,060"
10538,"$1 under $25,000",1770
10538,"$25,000 under $50,000",760
10538,"$50,000 under $75,000",650
10538,"$75,000 under $100,000",590
10538,"$100,000 under $200,000",1300
10538,"$200,000 or more",2990
,,
10541,,"12,580"
10541,"$1 under $25,000",3600
10541,"$25,000 under $50,000",1960
10541,"$50,000 under $75,000",1550
10541,"$75,000 under $100,000",1290
10541,"$100,000 under $200,000",3110
10541,"$200,000 or more",1070
,,
10543,,"9,690"
10543,"$1 under $25,000",2840
10543,"$25,000 under $50,000",1570
10543,"$50,000 under $75,000",1140
10543,"$75,000 under $100,000",870
10543,"$100,000 under $200,000",1670
10543,"$200,000 or more",1600
,,
10546,,720
10546,"$1 under $25,000",150
10546,"$25,000 under $50,000",80
10546,"$50,000 under $75,000",70
10546,"$75,000 under $100,000",60
10546,"$100,000 under $200,000",160
10546,"$200,000 or more",200
,,
10547,,"3,570"
10547,"$1 under $25,000",1030
10547,"$25,000 under $50,000",640
10547,"$50,000 under $75,000",480
10547,"$75,000 under $100,000",350
10547,"$100,000 under $200,000",810
10547,"$200,000 or more",260
,,
10548,,"1,590"
10548,"$1 under $25,000",430
10548,"$25,000 under $50,000",260
10548,"$50,000 under $75,000",220
10548,"$75,000 under $100,000",170
10548,"$100,000 under $200,000",390
10548,"$200,000 or more",120
,,
10549,,"8,260"
10549,"$1 under $25,000",2700
10549,"$25,000 under $50,000",1450
10549,"$50,000 under $75,000",830
10549,"$75,000 under $100,000",580
10549,"$100,000 under $200,000",1240
10549,"$200,000 or more",1460
,,
10550,,"19,310"
10550,"$1 under $25,000",9030
10550,"$25,000 under $50,000",5510
10550,"$50,000 under $75,000",2520
10550,"$75,000 under $100,000",1170
10550,"$100,000 under $200,000",990
10550,"$200,000 or more",90
,,
10552,,"10,830"
10552,"$1 under $25,000",3020
10552,"$25,000 under $50,000",2260
10552,"$50,000 under $75,000",1790
10552,"$75,000 under $100,000",1260
10552,"$100,000 under $200,000",1840
10552,"$200,000 or more",660
,,
10553,,"5,820"
10553,"$1 under $25,000",2200
10553,"$25,000 under $50,000",1590
10553,"$50,000 under $75,000",850
10553,"$75,000 under $100,000",490
10553,"$100,000 under $200,000",600
10553,"$200,000 or more",90
,,
10560,,"2,140"
10560,"$1 under $25,000",530
10560,"$25,000 under $50,000",300
10560,"$50,000 under $75,000",240
10560,"$75,000 under $100,000",170
10560,"$100,000 under $200,000",450
10560,"$200,000 or more",450
,,
10562,,"15,880"
10562,"$1 under $25,000",5070
10562,"$25,000 under $50,000",3260
10562,"$50,000 under $75,000",2120
10562,"$75,000 under $100,000",1500
10562,"$100,000 under $200,000",2670
10562,"$200,000 or more",1260
,,
10566,,"12,030"
10566,"$1 under $25,000",4430
10566,"$25,000 under $50,000",2890
10566,"$50,000 under $75,000",1720
10566,"$75,000 under $100,000",1070
10566,"$100,000 under $200,000",1590
10566,"$200,000 or more",330
,,
10567,,"9,480"
