,age6_12,age13_17,age18_24,age25_34,age35_44,age45_54,age55_64,age65_102
11201,0.012207940088028555,0.010848746034596277,0.01741768988777415,0.023507847955369508,0.02514176797965491,0.017606304807738893,0.018061276350423656,0.01855912353042424
11205,0.021470646199662775,0.017357993655354044,0.019715754010456565,0.016376253631830442,0.01454273574027369,0.0101451849937824,0.008746178761880921,0.008074715439245064
11215,0.020923204940109925,0.017567486682229006,0.014093305865641339,0.030059149811505,0.03158648504920415,0.02328450767913955,0.021732699178481214,0.017541365143271943
11217,0.010707951036853746,0.011043275273837314,0.008500606123708733,0.01745679822630606,0.017464972646809497,0.012670983995736502,0.01147698912985762,0.009878243169419354
11231,0.01270063722162612,0.011596935416292573,0.007987446173983535,0.013814962741221576,0.01725436097786998,0.01120136948692689,0.00992952992133749,0.00962380357263128
11203,0.035003394135809225,0.03727479499610942,0.027361093551289965,0.01892553847138958,0.022098429363478885,0.029030538912485263,0.030190625734853486,0.03196958698466627
11210,0.034937701184662884,0.03712515711977016,0.02426725965149746,0.015287705003321675,0.018439051615654765,0.022363979909885177,0.024941401360853835,0.01965171709310244
11225,0.02521514441500427,0.026500867899682767,0.02053383508972862,0.018073108846858817,0.018444316907378255,0.02038403772548893,0.019980429192362835,0.017937991573559235
11226,0.04958722929029715,0.052014125815526426,0.03959512423676754,0.029458847259018546,0.032160401847064334,0.037250690395826944,0.036638372437020686,0.02744954238290166
11220,0.04944489456281341,0.048901657987669836,0.045500182208967656,0.03876353682255857,0.03971609547026953,0.03862017732271766,0.033444841423359045,0.028018289716898532
11232,0.01273348369719929,0.012195486921649608,0.014665962621131777,0.015063592050393398,0.014416368738909979,0.011369325430790847,0.008336557206684417,0.005762308515494623
