,type,id,lat,lon,tags_addr:city,tags_shop,tags_name,geometry,index_right,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN
485,node,5146338606,40.7551842,-73.9921496,New York,clothes,Anthony Urso,POINT (-73.9921496 40.7551842),78,10018,0,New York,5503.0,10705796.4791701,NY,New York,36,061,http://www.usps.com/,0.0,0.0
804,node,6052023085,40.7519418,-73.9885548,,clothes,Odlo,POINT (-73.9885548 40.7519418),78,10018,0,New York,5503.0,10705796.4791701,NY,New York,36,061,http://www.usps.com/,0.0,0.0
8,node,886397016,40.7286931,-73.9936998,,clothes,American Apparel,POINT (-73.9936998 40.7286931),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
9,node,886403236,40.7285264,-73.9938554,,clothes,Le Chateau,POINT (-73.9938554 40.7285264),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
10,node,886530236,40.728438,-73.9939449,,clothes,French Connection,POINT (-73.9939449 40.728438),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
69,node,2045635523,40.7391221,-73.9899925,New York,clothes,Brooks Brothers,POINT (-73.9899925 40.7391221),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
88,node,2279563305,40.7348213,-73.9914286,,clothes,Forever 21,POINT (-73.99142860000001 40.7348213),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
104,node,2459993336,40.7385911,-73.9914858,,clothes,H&M,POINT (-73.99148580000001 40.7385911),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
120,node,2546985617,40.7298359,-73.992872,,clothes,Lids,POINT (-73.99287200000001 40.7298359),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
122,node,2547149208,40.7322489,-73.9914862,,clothes,the Bag House,POINT (-73.9914862 40.7322489),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
146,node,2555137414,40.7361031,-73.9912209,,clothes,AEO & Aerie Store,POINT (-73.9912209 40.7361031),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
159,node,2611479030,40.730985,-73.9830637,,clothes,Gabay's,POINT (-73.9830637 40.730985),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
332,node,4300546989,40.7298733,-73.9864727,,clothes,Urban Outfitters,POINT (-73.98647269999999 40.7298733),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
339,node,4353425889,40.7348737,-73.9914604,,clothes,Burlington,POINT (-73.99146039999999 40.7348737),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
340,node,4380059406,40.7374571,-73.9900472,,clothes,The Dr. Martens Store,POINT (-73.99004720000001 40.7374571),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
411,node,4760638621,40.7370704,-73.9926128,,clothes,Free People,POINT (-73.9926128 40.7370704),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
463,node,4998805610,40.7324844,-73.9911106,,clothes,New York Costumes,POINT (-73.9911106 40.7324844),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
464,node,4998806122,40.7336674,-73.9911925,,clothes,Nu New York,POINT (-73.9911925 40.7336674),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
