,type,id,lat,lon,tags_addr:city,tags_amenity,tags_name,geometry,index_right,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN
194,way,419968836,40.8900872,-73.8962712,,,,POINT (-73.8962712 40.8900872),10,10471,0,Bronx,23477.0,89651407.0583499,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
160,way,277175614,40.7812869,-73.7712936,,,The Bay Club,POINT (-73.77129360000001 40.7812869),57,11360,0,Bayside,18973.0,38834824.1713414,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
184,way,373350945,40.7900384,-73.7850366,,,,POINT (-73.7850366 40.7900384),57,11360,0,Bayside,18973.0,38834824.1713414,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
204,way,531024255,40.7806668,-73.7784964,,,,POINT (-73.77849639999999 40.7806668),57,11360,0,Bayside,18973.0,38834824.1713414,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
166,way,284629478,40.7513834,-73.8337301,,,Al Oerter Recreation Center,POINT (-73.8337301 40.7513834),75,11355,0,Flushing,82809.0,49383079.083945,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
167,way,284865839,40.7931153,-73.9194639,,,Sportime Tennis,POINT (-73.9194639 40.7931153),253,10035,0,New York,34884.0,23494871.4647732,NY,New York,36,061,http://www.usps.com/,0.0,0.0
168,way,284882418,40.7568014,-73.9545169,,,Roosevelt Island Racquet Club,POINT (-73.9545169 40.7568014),69,10044,0,New York,11661.0,6296113.26884279,NY,New York,36,061,http://www.usps.com/,0.0,0.0
169,way,284882422,40.7563489,-73.954877,,,Roosevelt Island Sportspark,POINT (-73.954877 40.7563489),69,10044,0,New York,11661.0,6296113.26884279,NY,New York,36,061,http://www.usps.com/,0.0,0.0
173,way,306588159,40.7127319,-73.8970137,,,Hugo's Tae Kwon Do,POINT (-73.8970137 40.7127319),172,11379,0,Middle Village,35428.0,57622817.0453818,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
207,way,554959290,40.6610552,-73.9357691,,,Old Boys High Field,POINT (-73.9357691 40.6610552),126,11203,0,Brooklyn,78060.0,60644835.4561565,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
